"date","city_name","industry_name","detection_count"
"2023-04-23","Kheda","IT/ITES",10
"2023-04-23","Khergam","IT/ITES",1
"2023-04-23","Khergam","Manufacturing",3
"2023-04-23","Khon Kaen","Professional Services",439
"2023-04-23","Kichha","Hospitality & Healthcare",4
"2023-04-23","Kochi","Hospitality & Healthcare",2
"2023-04-23","Kochi","Professional Services",42
"2023-04-23","Kodaikanal","Professional Services",6
"2023-04-23","Kohima","Hospitality & Healthcare",4
"2023-04-23","Kohima","Professional Services",2
"2023-04-23","Kolhapur","Hospitality & Healthcare",1
"2023-04-23","Kolhapur","Education",17
"2023-04-23","Kolkata","Hospitality & Healthcare",15
"2023-04-23","Kolkata","Media & Entertainment",6
"2023-04-23","Kolkata","Manufacturing",33
"2023-04-23","Kolkata","IT/ITES",4
"2023-04-23","Kolkata","Education",28
"2023-04-23","Kolkata","Government",35
"2023-04-23","Kolkata","Professional Services",325
"2023-04-23","Kollam","Manufacturing",1
"2023-04-23","Kollam","Education",1
"2023-04-23","Kollam","Transport",1
"2023-04-23","Kollam","Professional Services",1
"2023-04-23","Kollam","Hospitality & Healthcare",96
"2023-04-23","Korba","Manufacturing",2
"2023-04-23","Korba","Government",108
"2023-04-23","Kota","Professional Services",6
"2023-04-23","Kotputli","Professional Services",2
"2023-04-23","Kottayam","Professional Services",1
"2023-04-23","Kottayam","BFSI",1
"2023-04-23","Kozhikode","Education",2
"2023-04-23","Kozhikode","Professional Services",22
"2023-04-23","Kuchaman","Manufacturing",3
"2023-04-23","Kumbh","Automobiles",1
"2023-04-23","Kumbh","Media & Entertainment",22
"2023-04-23","Kurnool","Media & Entertainment",3
"2023-04-23","Kurwai","Manufacturing",1
"2023-04-23","Lampang","Professional Services",1
"2023-04-23","Latur","Professional Services",3
"2023-04-23","Lima","Professional Services",3
"2023-04-23","Lipa City","Professional Services",4
"2023-04-23","Luanda","Professional Services",7
"2023-04-23","Lucknow","Manufacturing",1
"2023-04-23","Lucknow","Professional Services",12
"2023-04-23","Ludhiana","Media & Entertainment",3
"2023-04-23","Ludhiana","Education",4
"2023-04-23","Ludhiana","Government",2
"2023-04-23","Ludhiana","Professional Services",8
"2023-04-23","Ludhiana","Manufacturing",40
"2023-04-23","Machilipatnam","Education",1
"2023-04-23","Madurai","Manufacturing",2
"2023-04-23","Makati City","Professional Services",1
"2023-04-23","Malappuram","Government",1
"2023-04-23","Malappuram","Manufacturing",21
"2023-04-23","Malda","Professional Services",11
"2023-04-23","Malda","Manufacturing",1
"2023-04-23","Malvern","Professional Services",5
"2023-04-23","Manila","Professional Services",521
"2023-04-23","Manjeri","Manufacturing",4
"2023-04-23","Mansa","Power & Energy",18
"2023-04-23","Marikina City","Professional Services",1
"2023-04-23","Mathura","Professional Services",1
"2023-04-23","Medarametla","Hospitality & Healthcare",2
"2023-04-23","Meerut","Media & Entertainment",1
"2023-04-23","Meerut","Professional Services",2
"2023-04-23","Meerut","Hospitality & Healthcare",1
"2023-04-23","Meerut","Manufacturing",6
"2023-04-23","Melbourne","Professional Services",1
"2023-04-23","Mettupalayam","Hospitality & Healthcare",1
"2023-04-23","Mhow","Education",3
"2023-04-23","Mhow","Professional Services",10
"2023-04-23","Miraj","Manufacturing",12
"2023-04-23","Mohali","Media & Entertainment",4
"2023-04-23","Mohali","Hospitality & Healthcare",3
"2023-04-23","Mohali","Manufacturing",7
"2023-04-23","Mohali","Automobiles",5
"2023-04-23","Mohali","IT/ITES",116
"2023-04-23","Mohali","Professional Services",1402
"2023-04-23","Mongar","Manufacturing",1
"2023-04-23","Morvi","Manufacturing",13
"2023-04-23","Mumbai","Media & Entertainment",1
"2023-04-23","Mumbai","Government",35
"2023-04-23","Mumbai","BFSI",50
"2023-04-23","Mumbai","Automobiles",307
"2023-04-23","Mumbai","Education",19
"2023-04-23","Mumbai","Logistic",20
"2023-04-23","Mumbai","Hospitality & Healthcare",153
"2023-04-23","Mumbai","Professional Services",232
"2023-04-23","Mumbai","Manufacturing",1098
"2023-04-23","Mumbai","IT/ITES",897
"2023-04-23","Mussoorie","Professional Services",6
"2023-04-23","Muzaffarnagar","Professional Services",3
"2023-04-23","Mysore","Hospitality & Healthcare",3
